node,node_type,layer,is_endpoint,is_latent,is_rare_signal,recommended_use,value_type,severity_weight,observability,rarity_weight,node_priority_weight
se__Enlargement abdomen,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Myoclonus,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Platelet count decreased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Skin hyperpigmentation,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Visual acuity reduced,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Generalised oedema,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Cerebration impaired,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Haemorrhoids,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Lacrimation,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Completed suicide,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Urine analysis abnormal,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Gastrointestinal symptom NOS,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Fracture,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hepatic necrosis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hypophosphataemia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Multiple fractures,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Blood lactate dehydrogenase increased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Inappropriate antidiuretic hormone secretion,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Gastric ulcer,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hirsutism,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hypertriglyceridaemia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Cholecystitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Accommodation disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Nephropathy toxic,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Micturition urgency,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Suicide attempt,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Block heart,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Foetor hepaticus,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Gingival bleeding,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Pregnancy,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Osteoporosis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Sleep disturbance,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hypothermia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Vesiculobullous rash,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Body temperature decreased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Sexual dysfunction,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Tongue oedema,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Mucosal inflammation,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Blindness,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Systemic lupus erythematosus,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hostility,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Akathisia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Cerebral haemorrhage,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Local reaction,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Acidosis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Urine abnormality,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Loose stools,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Sneezing,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Menstruation irregular,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Anorectal discomfort,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Vulvovaginal mycotic infection,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Balance disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Venous thrombosis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Ear disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Night sweats,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Azotaemia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Epigastric discomfort,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Anorectal disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Creatine phosphokinase increased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hypernatraemia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Vulvovaginal candidiasis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Renal pain,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hypotonia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Nuchal rigidity,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Suicide,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Extrapyramidal symptoms,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Muscle rigidity,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Blood glucose increased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Lactic dehydrogenase activity increased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Neuroleptic malignant syndrome,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Lymphopenia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Sudden death,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Cardiomyopathy,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Eyelid oedema,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Embolism venous,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Throat irritation,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Vaginal moniliasis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Bundle branch block,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Faecal incontinence,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Transient ischaemic attack,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Sinus congestion,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Appetite absent,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Pneumothorax,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__White blood cell count decreased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Pseudomembranous colitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Muscle relaxant therapy,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Rectal disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Leukocytoclastic vasculitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Throat tightness,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Myositis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Excitement,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Drug withdrawal syndrome,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Sinus bradycardia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Peripheral vascular disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Joint swelling,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Furuncle,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Duodenal ulcer,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Nephrotic syndrome,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Epigastric pain,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Muscle contractions involuntary,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Kidney function abnormal,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Priapism,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Interstitial pneumonia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Cerebral ischaemia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Bursitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Tongue discolouration,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Swelling face,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Peripheral coldness,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Trauma,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Abdominal bloating,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Grand mal convulsion,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Nephropathy,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Disorder sight,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Neck stiffness,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Amylase increased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Endophthalmitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Aphthous stomatitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Ocular hyperaemia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Leukorrhea,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Myelosuppression,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Chest tightness,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Proctalgia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Application site reaction,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Eye haemorrhage,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Paraesthesia oral,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Thrombocytopenic purpura,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hernia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Lung infiltration,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Serum sickness,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Bacterial infection,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hyperreflexia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Ache,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Prurigo,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Altered state of consciousness,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Raised liver function tests,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Loss of libido,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Ulcerative stomatitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Pancreatitis acute,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Leg pain,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Ascites,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Parkinsonism,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hyporeflexia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Lacrimal disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Eye pruritus,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Cerebrovascular disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Slurred speech,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Depressed mood,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Induration,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Intraocular pressure increased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Respiratory arrest,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hoarseness,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Pulmonary fibrosis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Conjunctival hyperaemia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Application site pain,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Erythema nodosum,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Pericarditis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Skin irritation,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Cognitive disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Dysphoria,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Personality disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Impaired healing,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Dysaesthesia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Ileus paralytic,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Emotional distress,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Prostatic disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Rash generalised,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Ear infection,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Tendonitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Stomach ache,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Cheilitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Cold sweat,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Leukoderma,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Paranoid reaction,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Furunculosis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Intracranial pressure increased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Pruritus genital,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Fungal skin infection,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Miosis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Tooth abscess,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Electrolyte imbalance,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Laboratory test abnormal,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Withdrawal syndrome,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Urinary hesitation,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Pericardial effusion,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__VIIth nerve paralysis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Rales,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Dry throat,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Withdrawal symptom,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Prothrombin level increased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Rash macular,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__CNS depression NOS,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Haemorrhage intracranial,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Dementia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Flank pain,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Blood cholesterol increased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Sinus tachycardia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Haematochezia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Opportunistic infection,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Yawning,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Drug hypersensitivity,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hepatitis cholestatic,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Retrosternal pain,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Periorbital oedema,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Nasal dryness,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Neurosis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Coronary artery disease,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Intestinal perforation,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hyperthyroidism,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Bullous eruption,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Manic psychosis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Metabolic acidosis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Musculoskeletal chest pain,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Epigastric distress,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Salivation,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Meningitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Neurotoxicity,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hypochromic anaemia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Arrhythmia supraventricular,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Gastric irritation,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Stiffness,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Atrial flutter,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hypertrichosis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Epilepsy,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Iritis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Ejaculation disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Blood potassium decreased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Skin hypertrophy,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Atrioventricular block first degree,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Congenital anomaly,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Pyelonephritis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Developmental delay,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hyperpyrexia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Panic attack,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Rash papular,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Feeling jittery,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Lupus erythematosus,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hyperacusis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
